DSA Master Sheet									
"Sr 
No."	"Sub
Sr No."	Topic	Subtopic	Problem Name	Link	Difficulty	Status	Notes	Revisit
PHASE 1 : FUNDAMENTALS & LINEAR DATA STRUCTURES									
136	10			Delete the Middle Node of a Linked List	Link	★★★☆☆			
137	11		Fast and Slow Pointer	Middle of the Linked List	Link	★★☆☆☆			
138	12			Linked List Cycle	Link	★★☆☆☆			
139	13			Intersection of Two Linked Lists	Link	★★☆☆☆			
140	14			Length of Loop in Linked List	Link	★★★☆☆			
141	15			Linked List Cycle II (Find Starting Point)	Link	★★★☆☆			
142	16			Remove Loop in Linked List	Link	★★★☆☆			
143	17			Remove Nth Node From End of List	Link	★★★☆☆			
144	18		Reversals and Rotations	Reverse a Linked List (Iterative & Recursive)	Link	★★☆☆☆			
145	19			Palindrome Linked List	Link	★★☆☆☆			
146	20			Swap Nodes in Pairs	Link	★★★☆☆			
147	21			Odd Even Linked List (By Index)	Link	★★★☆☆			
148	22			Reorder List	Link	★★★★☆			
149	23			Rotate List	Link	★★★★☆			
150	24		Math in Linked List	Add One to a Number Represented by LL	Link	★★★☆☆			
151	25			Add Two Numbers (Reverse Order)	Link	★★★☆☆			
152	26			Add Two Numbers II (Forward Order)	Link	★★★★☆			
153	27		Sorting, Merging & Segregating	Merge Two Sorted Lists	Link	★★☆☆☆			
154	28			Sort a Linked List of 0s, 1s, and 2s	Link	★★★☆☆			
155	29			Segregate Even and Odd Nodes (By Value)	Link	★★★☆☆			
156	30			Partition List	Link	★★★★☆			
157	31			Insertion Sort List	Link	★★★★☆			
158	32			Sort List (Merge Sort on LL)	Link	★★★★★			
159	33		Doubly Linked Lists (DLL)	Array to Doubly Linked List	Link	★☆☆☆☆			
160	34			Insert/Delete in a Doubly Linked List		★★☆☆☆			
161	35			Reverse a Doubly Linked List	Link	★★☆☆☆			
162	36			Remove Duplicates from Sorted DLL	Link	★★☆☆☆			
163	37			Insert in Sorted way in a Sorted DLL	Link	★★★☆☆			
164	38			Delete all occurrences of a key in DLL	Link	★★★☆☆			
165	39			Find Pairs with Given Sum in a DLL	Link	★★★☆☆			
166	40		Advanced Problems	Copy List with Random Pointer (Clone LL)	Link	★★★★☆			
167	41			Flattening a Linked List	Link	★★★★☆			
168	42			Reverse Linked List in Groups of Size K	Link	★★★★★			
169	43			Reverse Alternate K Nodes	Link	★★★★★			
170	1	Stacks	Core Implementation	Implement Stack using Arrays	Link	★☆☆☆☆			
171	2			Implement Stack using Linked List	Link	★☆☆☆☆			
172	3		Parentheses & String Parsing	Valid Parentheses	Link	★★☆☆☆			
173	4			Remove Outermost Parentheses	Link	★★☆☆☆			
174	5			Remove All Adjacent Duplicates In String	Link	★★☆☆☆			
175	6			Minimum Add to Make Parentheses Valid	Link	★★☆☆☆			
176	7			Minimum Remove to Make Valid Parentheses	Link	★★★☆☆			
177	8			Evaluate Reverse Polish Notation	Link	★★★☆☆			
178	9		Recursion Based Stack Problems	Sort a Stack Using Recursion	Link	★★★☆☆			
179	10			Reverse a Stack (Using Recursion)	Link	★★★☆☆			
180	11		Expression Conversions	Infix to Postfix Conversion	Link	★★☆☆☆			
181	12			Prefix to Infix Conversion	Link	★★☆☆☆			
182	13			Postfix to Prefix Conversion	Link	★★☆☆☆			
183	14			Infix to Prefix Conversion	Link	★★★☆☆			
184	15		The Monotonic Stack Pattern	Next Greater Element I	Link	★★☆☆☆			
185	16			Next Smaller Element / Help Classmates	Link	★★★☆☆			
186	17			Next Greater Element II (Circular Array)	Link	★★★☆☆			
187	18			Stock Span Problem	Link	★★★☆☆			
188	19			Number of Greater Elements to the Right	Link	★★★☆☆			
189	20			Asteroid Collision	Link	★★★☆☆			
190	21			Remove K Digits	Link	★★★★☆			
191	22			Remove Duplicate Letters	Link	★★★★☆			
192	23		Advanced Monotonic Stack & Applications	Largest Rectangle in Histogram	Link	★★★★☆			
193	24			Sum of Subarray Minimums	Link	★★★★☆			
194	25			Sum of Subarray Ranges	Link	★★★★☆			
195	26			Maximal Rectangle (2D Grid)	Link	★★★★★			
196	27		Classic Design Problems	Min Stack (Design a stack with O(1) getMin)	Link	★★★☆☆			
197	28			The Celebrity Problem (Elimination via Stack)	Link	★★★☆☆			
198	1	Queues	Queue Implementation	Implement Queue using Arrays	Link	★☆☆☆☆			
199	2			Implement Queue using Linked List	Link	★☆☆☆☆			
200	3			Implement Queue using Stacks	Link	★★☆☆☆			
201	4			Implement Stack using Queues	Link	★★☆☆☆			
202	5			Reverse First K elements of Queue	Link	★★☆☆☆			
203	6		Queue Applications	Number of Students Unable to Eat Lunch	Link	★★☆☆☆			
204	7			First non-repeating character in a stream	Link	★★★☆☆			
205	8		Deque & Sliding Window Max	Sliding Window Maximum	Link	★★★★☆			
206	9			Longest Continuous Subarray With Abs Diff ≤ Limit	Link	★★★★☆			
207	10			Constrained Subsequence Sum	Link	★★★★★			
PHASE 6 - HIERARCHIAL DATA STRUCTURES									
208	1	Binary Trees	Traversals & Views (Fundamentals)	Preorder Traversal (Recursive & Iterative)	Link	★★★☆☆			
209	2			Inorder Traversal (Recursive & Iterative)	Link	★★★☆☆			
210	3			Postorder Traversal (Recursive & Iterative)	Link	★★★☆☆			
211	4			Binary Tree Level Order Traversal	Link	★★★★☆			
212	5			Binary Tree Zigzag Level Order Traversal	Link	★★★★☆			
213	6			Left / Right View of Binary Tree	Link	★★★★☆			
214	7			Top / Bottom View of Binary Tree	Link	★★★★☆			
215	8			Boundary Traversal of Binary Tree	Link	★★★★☆			
216	9			Diagonal Traversal of Binary Tree	Link	★★★★☆			
217	10			Vertical Order Traversal of a Binary Tree	Link	★★★★★			
218	11		Tree Properties & Dimensions	Maximum Depth of Binary Tree	Link	★★★☆☆			
219	12			Same Tree	Link	★★★☆☆			
220	13			Invert Binary Tree	Link	★★★☆☆			
221	14			Symmetric Tree	Link	★★★★☆			
222	15			Maximum Width of Binary Tree	Link	★★★★☆			
223	16			Count Complete Tree Nodes	Link	★★★★☆			
224	17			Diameter of Binary Tree	Link	★★★★★			
225	18			Balanced Binary Tree	Link	★★★★★			
226	19		Paths, Sums & LCA	Path Sum I	Link	★★★☆☆			
227	20			Path Sum II	Link	★★★★☆			
228	21			Sum Root to Leaf Numbers	Link	★★★★☆			
229	22			Maximum Difference Between Node and Ancestor	Link	★★★★☆			
230	23			Lowest Common Ancestor of a Binary Tree	Link	★★★★★			
231	24			Binary Tree Maximum Path Sum	Link	★★★★★			
232	25			Path Sum III	Link	★★★★★			
233	26		Graph-Like Traversals in Trees	Minimum time taken to burn the BT	Link	★★★★☆			
234	27			All Nodes Distance K in Binary Tree	Link	★★★★★			
235	28			Step-By-Step Directions From a Binary Tree Node to Another	Link	★★★★★			
236	29		Structural Modifications & Construction	Merge Two Binary Trees	Link	★★★☆☆			
237	30			Children Sum Property in a Binary Tree	Link	★★★☆☆			
238	31			Construct Binary Tree from Preorder and Inorder Traversal	Link	★★★★★			
239	32			Construct Binary Tree from Inorder and Postorder Traversal	Link	★★★★☆			
240	33			Flatten Binary Tree to Linked List	Link	★★★★☆			
241	34			Serialize and Deserialize Binary Tree	Link	★★★★★			
242	1	Binary Search Trees	Core Properties & Search	Search in a Binary Search Tree	Link	★★☆☆☆			
243	2			Find Minimum/Maximum in BST	Link	★★☆☆☆			
244	3			Insert into a Binary Search Tree	Link	★★★☆☆			
245	4			Floor and Ceil in a BST	Link	★★★☆☆			
246	5			Inorder Successor in BST	Link	★★★★☆			
247	6			Lowest Common Ancestor of a Binary Search Tree	Link	★★★★☆			
248	7			Validate Binary Search Tree	Link	★★★★★			
249	8			Kth Smallest Element in a BST	Link	★★★★★			
250	9		Standard Modifications & Deletions	Delete Node in a BST	Link	★★★★☆			
251	10			Two Sum IV - Input is a BST	Link	★★★★★			
252	11		Construction & Advanced Operations	Convert Sorted Array to Binary Search Tree	Link	★★★☆☆			
253	12			Construct BST from Preorder Traversal	Link	★★★★☆			
254	13			Balance a Binary Search Tree	Link	★★★★☆			
255	14			Merge Two Balanced Binary Search Trees	Link	★★★★☆			
256	15			Recover Binary Search Tree	Link	★★★★★			
257	16			Largest BST in a Binary Tree	Link	★★★★★			
258	1	Tries	Implementation & String Search	Implement Trie (Prefix Tree)	Link	★★★★☆			
259	2			Design Add and Search Words Data Structure	Link	★★★★☆			
260	3			Longest Word with All Prefixes	Link	★★★★☆			
261	4			Number of Distinct Substrings in a String	Link	★★★★☆			
262	5			Word Search II	Link	★★★★★			
263	6		Bitwise Tries (Advanced)	Maximum XOR of Two Numbers in an Array	Link	★★★★★			
264	7			Maximum XOR With an Element From Array	Link	★★★★★			
PHASE 7 : CORE DATA STRUCTURES AND TECHNIQUES									
265	1	Hashmaps	Hashmap Fundamentals	Contains Duplicate	Link	★☆☆☆☆			
266	2			Valid Anagram (Hashmap Approach)	Link	★☆☆☆☆			
267	3			Unique Number of Occurrences	Link	★☆☆☆☆			
268	4			Find distinct elements / Find the Frequency	Link	★☆☆☆☆			
269	5			Two Sum	Link	★★☆☆☆			
270	6			Intersection of Two Arrays	Link	★★☆☆☆			
271	7			Count Number of Pairs With Absolute Difference K	Link	★★☆☆☆			
272	8			Design HashMap	Link	★★★☆☆			
273	9		Intermediate Hashmap Problems	Group Anagrams	Link	★★★☆☆			
274	10			Longest Consecutive Sequence	Link	★★★☆☆			
275	11			Subarray Sum Equals K	Link	★★★☆☆			
276	12			Contiguous Array / Largest subarray with 0 sum	Link	★★★☆☆			
277	13			Count subarrays with given XOR	Link	★★★☆☆			
278	14			Subarray Sums Divisible by K	Link	★★★☆☆			
279	15			Continuous Subarray Sum	Link	★★★☆☆			
280	16		Advanced / Multi Concept	Maximum Size Subarray Sum Equals k	Link	★★★☆☆			
281	17			Top K Frequent Elements	Link	★★★☆☆			
282	18			LRU Cache (Least Recently Used)	Link	★★★★☆			
283	19			LFU Cache (Least Frequently Used)	Link	★★★★★			
284	1	Heaps / Priority Queues	Heap Fundamentals	Check if an array represents a min heap	Link	★★☆☆☆			
285	2			Convert Min Heap to Max Heap	Link	★★☆☆☆			
286	3			Implement Min/Max Heap		★★★☆☆			
287	4		The Top-K Pattern	Last Stone Weight	Link	★★★☆☆			
288	5			Kth Largest Element in an Array	Link	★★★★☆			
289	6			K Closest Points to Origin	Link	★★★★☆			
290	7			Sort a K Sorted Array / Nearly Sorted Algorithm	Link	★★★★☆			
291	8			Top K Frequent Elements (Heap Approach)	Link	★★★★☆			
292	9		Merging & Combinations	Minimum Cost of Ropes 	Link	★★★★☆			
293	10			Merge K Sorted Lists	Link	★★★★★			
294	11			Kth Smallest Element in a Sorted Matrix	Link	★★★★☆			
295	12		Advanced / Two-Heaps / Scheduling	Task Scheduler	Link	★★★★★			
296	13			Reorganize String	Link	★★★★★			
297	14			Minimum Number of Refueling Stops	Link	★★★★★			
298	15			Find Median from Data Stream	Link	★★★★★			
299	1	Prefix Sum	1d Prefix Sum	Running Sum of 1D Array	Link	★☆☆☆☆			
300	2			Find the Highest Altitude	Link	★★☆☆☆			
301	3			Find Pivot Index	Link	★★☆☆☆			
302	4			Range Sum Query - Immutable	Link	★★☆☆☆			
303	5			Product of Array Except Self	Link	★★★☆☆			
304	6			Corporate Flight Bookings	Link	★★★★☆			
305	7			Trapping Rain Water (Prefix Max / Min)	Link	★★★★☆			
306	8		2d Prefix Sum	Range Sum Query 2D - Immutable	Link	★★★☆☆			
307	9			Matrix Block Sum	Link	★★★☆☆			
308	10			Maximum Sum of a 2D Subgrid of size K x K	Link	★★★★☆			
309	1	Two Pointers & Sliding Window	Two Pointers Basics	Move Zeroes (Two Pointer Intution)	Link	★☆☆☆☆			
310	2			Valid Palindrome (Two Pointers)	Link	★☆☆☆☆			
311	3			Two Sum II - Input Array Is Sorted	Link	★★☆☆☆			
312	4			Sort Colors (Dutch National Flag)	Link	★★☆☆☆			
313	5			Container With Most Water	Link	★★★☆☆			
314	6			3Sum	Link	★★★☆☆			
315	7		Fixed Size Slding Window	Maximum Average Subarray I	Link	★★☆☆☆			
316	8			Max Sum Subarray of size K	Link	★★☆☆☆			
317	9			Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold	Link	★★☆☆☆			
318	10			Minimum Consecutive Cards to Pick Up	Link	★★☆☆☆			
319	11			Maximum Points You Can Obtain from Cards	Link	★★★☆☆			
320	12		Variable Size Sliding Window	Find All Anagrams in a String	Link	★★★☆☆			
321	13			Permutation in String	Link	★★★☆☆			
322	14			Minimum Size Subarray Sum	Link	★★★☆☆			
323	15			Longest Substring Without Repeating Characters	Link	★★★☆☆			
324	16			Longest Repeating Character Replacement	Link	★★★☆☆			
325	17			Max Consecutive Ones III	Link	★★★☆☆			
326	18			Fruit Into Baskets	Link	★★★☆☆			
327	19			Maximum Erasure Value	Link	★★★☆☆			
328	20			Number of Substrings Containing All Three Characters	Link	★★★☆☆			
329	21		Advanced Sliding Window / Counting / Atmost K	Binary Subarrays With Sum	Link	★★★☆☆			
330	22			Count Number of Nice Subarrays	Link	★★★☆☆			
331	23			Subarrays with K Different Integers	Link	★★★★☆			
332	24			Minimum Window Subsequence	Link	★★★★☆			
333	25			Minimum Window Substring	Link	★★★★★			
334	1	Bit Manipulation	Bit Basics & Properties	K-th Bit is Set or Not	Link	★☆☆☆☆			
335	2			Check if a Number is Odd or Not	Link	★☆☆☆☆			
336	3			Check If Number Power of 2 or Not	Link	★★☆☆☆			
337	4			Number Of Even and Odd Bits	Link	★★☆☆☆			
338	5			Minimum Bit Flips To Convert Number	Link	★★★☆☆			
339	6		XOR Tricks	Swap Two Numbers (XOR Trick)	Link	★★☆☆☆			
340	7			Single Number I	Link	★★☆☆☆			
341	8			Is Binary Number Multiple of 3	Link	★★☆☆☆			
342	9			Find the repeating and missing number	Link	★★★☆☆			
343	10			Single Number II	Link	★★★★☆			
344	11			Single Number III	Link	★★★★★			
345	12		Bit Counting & Advanced	Count Set Bits From 1 to N	Link	★★★★☆			
346	13			Bleak Numbers	Link	★★★★☆			
347	14			Minimum Xor Pair	Link	★★★★☆			
348	15			Divide Two Integers (Bit Shifting)	Link	★★★★☆			
PHASE 8 : STANDARD ALGORITHMS									
349	1	Greedy	Basics & Array Manipulation	Assign Cookies	Link	★☆☆☆☆			
350	2			Lemonade Change	Link	★★☆☆☆			
351	3			Maximize Sum of Array After K Negations	Link	★★☆☆☆			
